Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
591,628,340,151,271,1514,1135,1048
617,673,358,138,254,1449,1115,1058
662,668,418,170,298,1478,1129,1093
679,757,498,171,299,1335,1101,1138
655,658,534,188,307,1251,1053,1134
642,678,604,183,278,1322,995,1091
632,778,631,179,266,1290,980,1058
580,822,737,173,220,1317,1029,1016
630,749,787,226,308,1373,1057,1131
718,891,813,245,333,1437,1061,1138
719,916,809,243,336,1344,1066,1183
694,808,777,302,381,1450,1119,1178
698,798,676,365,456,1430,1062,1162
647,845,634,343,410,1431,1030,967
574,798,655,330,467,1445,1049,995
688,797,686,447,573,1473,1133,957
692,815,675,475,599,1450,1075,946
686,884,722,441,552,1436,1105,1072
694,891,680,440,549,1463,1127,1155
687,847,624,477,536,1401,1201,1065
599,852,541,386,458,1466,1158,1092
571,908,554,385,493,1477,1134,1145
586,837,662,512,650,1521,1130,1137
558,788,690,669,792,1542,1157,1084
572,755,717,687,853,1530,1029,1158
594,757,846,724,846,1440,1124,1096
687,715,841,694,840,1424,1130,1074
666,771,734,594,777,1287,1095,969
697,784,718,434,632,1229,994,962
712,780,700,403,514,1310,1028,952
661,718,522,328,531,1319,895,980
646,669,512,382,472,1320,931,932
644,542,504,385,424,1400,988,973
593,505,477,397,573,1400,1031,1033
543,588,485,541,593,1273,1020,956
616,612,538,567,669,1223,1002,964
558,641,536,559,815,1238,1049,971
534,747,598,598,810,1229,1040,943
546,765,654,648,769,1315,1016,869
545,709,605,522,763,1379,1027,922
483,683,564,498,696,1503,1005,933
456,691,688,466,514,1425,908,904
497,582,603,538,487,1375,820,884
491,536,526,457,386,1281,816,925
467,536,523,430,333,1243,789,919
412,530,605,421,315,1133,774,848
387,439,431,408,275,1216,785,866
320,428,422,209,247,1146,746,852
274,433,407,160,237,1195,691,766
257,433,405,149,240,1156,685,761
245,396,231,176,171,1130,649,690
235,410,232,168,160,1041,548,629
215,394,369,168,149,1042,549,619
195,359,414,170,141,898,483,605
142,290,448,168,108,849,377,444
127,274,483,125,84,762,339,421
111,231,534,138,77,735,325,335
117,212,489,162,83,683,286,249
106,236,598,210,92,581,257,198
117,249,670,224,86,544,178,134
117,236,721,221,86,509,119,116
112,216,757,219,83,412,84,93
97,234,805,216,84,344,67,77
89,214,781,180,74,332,56,65
68,222,766,173,74,324,44,56
59,230,697,169,70,338,38,44
57,231,631,152,68,270,32,35
48,221,549,128,53,250,29,29
55,222,560,115,47,218,29,30
58,215,555,106,38,189,26,29
59,189,561,103,35,121,27,29
60,188,547,103,34,97,27,31
67,183,550,93,37,84,24,34
67,190,526,80,39,68,25,32
60,177,443,57,34,62,24,30
65,178,457,61,35,67,22,29
71,195,641,98,46,64,23,32
65,214,654,145,48,57,25,30
59,203,625,154,48,69,25,32
58,204,695,158,49,75,24,32
68,221,786,176,54,65,26,39
67,241,645,164,47,61,26,38
67,209,630,160,43,60,26,36
77,299,710,324,77,52,27,38
86,314,681,350,81,39,26,40
76,302,571,343,79,36,25,33
68,271,565,343,77,35,23,30
71,273,653,338,77,38,20,30
57,191,517,197,49,33,20,28
44,172,509,147,41,33,21,26
47,169,499,141,39,35,21,28
48,173,527,133,41,36,21,31
45,171,444,105,42,34,22,30
45,145,438,65,31,27,21,28
44,162,412,76,31,27,20,27
51,168,572,96,36,28,22,32
50,168,576,96,34,26,23,32
53,169,528,97,33,26,22,32
55,159,520,98,36,29,22,34
57,135,519,100,41,32,24,35
47,138,473,82,33,28,23,28
48,138,440,86,36,30,23,28
42,129,473,83,34,31,25,26
42,138,534,85,35,28,25,25
40,118,530,74,31,25,26,25
41,117,485,79,33,27,27,27
44,114,517,77,32,25,26,26
43,119,536,85,34,28,26,28
51,148,502,83,31,30,25,27
54,160,489,85,36,35,26,29
52,151,432,77,34,34,23,28
53,162,515,92,37,34,25,28
63,189,592,102,41,37,25,42
58,165,621,109,43,36,27,43
65,198,716,134,49,34,28,44
73,213,797,167,58,40,33,70
102,233,870,171,62,46,48,212
102,266,913,177,62,43,52,218
108,321,995,223,79,50,54,230
110,359,1013,236,84,52,53,236
164,502,1022,345,122,68,58,276
171,503,1066,367,132,77,54,209
178,492,1027,396,143,83,62,239
199,510,1072,442,151,87,71,348
214,533,1080,479,159,103,89,373
214,526,1182,545,180,118,96,371
234,627,1113,591,206,127,103,367
239,634,1130,590,207,135,100,398
232,674,1098,550,200,157,99,304
257,701,1102,547,202,151,92,273
276,758,1026,503,183,197,95,247
341,968,1108,600,207,314,114,248
447,1152,1178,659,280,360,141,193
550,1253,1184,849,326,512,161,295
580,1295,1215,940,370,667,204,334
581,1272,1247,1045,376,807,224,340
562,1104,1247,1046,384,898,226,347
552,1054,1305,1109,440,1002,239,331
521,1065,1292,998,453,978,239,244
553,1087,1299,1015,454,972,233,215
573,1090,1266,921,446,964,229,238
658,1148,1247,970,455,987,227,239
648,1101,1121,1007,366,915,208,266
643,983,1135,1052,318,1030,222,312
650,982,1128,981,314,1015,210,339
697,1041,1094,1029,378,1076,224,362
653,1064,1187,983,380,1004,226,366
647,1046,1269,926,446,1039,254,343
631,1089,1328,965,492,1033,251,324
584,1084,1316,1036,500,1045,255,313
555,1064,1330,1074,519,1006,250,365
536,1033,1199,1062,540,1026,270,369
584,1051,1122,1082,516,1086,253,387
593,1018,1103,1107,570,995,264,371
665,1049,1123,1080,633,988,261,400
671,1063,1246,1028,608,953,263,362
670,1055,1349,1033,581,975,253,367
774,1072,1344,1082,578,945,275,378
774,1168,1287,999,495,984,289,427
758,1088,1347,1022,395,993,305,405
820,1097,1311,1053,534,1007,365,408
826,1130,1197,1039,535,1040,366,399
702,1187,1232,1026,578,1070,368,396
750,1145,1170,1038,594,1067,365,381
760,1226,1109,1039,664,1115,401,443
656,1163,1084,971,555,1118,334,392
658,1162,1112,930,551,1121,324,394
646,1160,1252,880,490,1073,333,388
581,1132,1343,872,527,1058,318,348
575,1124,1283,822,470,1003,289,257
547,1097,1210,761,447,930,285,250
502,1046,1225,776,445,843,293,246
445,915,1093,637,425,894,301,272
401,846,1058,575,347,849,294,355
235,686,1070,475,264,795,250,330
233,645,1021,464,248,858,270,553
182,528,921,382,203,800,276,621
180,437,778,359,200,717,273,692
189,392,729,310,169,802,320,829
253,351,702,286,152,865,359,858
346,346,678,282,167,887,365,774
680,338,645,270,180,1059,371,805
892,376,602,235,168,1040,344,816
989,449,596,227,164,945,326,691
990,451,552,199,160,878,290,685
965,450,584,200,136,865,328,671
769,449,592,196,104,720,325,597
514,407,585,200,98,675,312,479
323,298,479,210,96,677,272,428
284,294,519,176,80,654,256,398
273,296,488,156,65,481,162,365
264,307,596,162,65,333,113,319
250,302,606,153,61,278,193,313
169,288,591,106,45,273,196,270
129,286,477,102,38,253,197,242
102,327,504,100,39,258,200,230
97,316,355,112,53,302,196,282
101,315,378,128,62,286,109,311
92,325,444,135,64,269,104,311
101,313,455,134,64,251,96,318
101,274,421,129,64,230,85,301
101,288,495,125,58,145,76,265
98,285,499,113,48,149,63,211
96,263,430,97,44,142,48,198
87,238,427,94,44,131,76,258
87,215,434,96,44,146,75,260
86,214,430,69,33,156,77,220
85,207,432,67,34,146,78,250
93,170,427,68,31,141,93,250
78,175,487,71,31,152,71,164
72,198,528,86,33,131,76,166
66,285,540,98,36,117,74,162
67,306,547,96,35,150,85,184
57,314,642,102,38,181,77,183
75,309,599,101,38,181,76,192
73,319,568,91,36,176,70,183
84,316,627,84,35,181,70,196
81,301,665,87,33,145,62,169
80,304,616,82,30,106,52,177
71,318,646,95,35,108,49,169
72,315,736,110,38,112,49,200
63,238,657,104,37,140,49,201
59,244,617,97,37,197,41,177
67,236,630,98,36,211,51,218
63,225,612,91,32,235,69,223
71,230,578,99,38,235,70,195
68,211,664,111,38,250,69,179
79,233,679,119,44,210,68,169
83,299,789,122,47,226,70,137
84,316,822,124,49,194,66,142
82,306,779,112,59,319,82,140
92,325,701,136,80,456,147,147
88,317,673,149,102,681,174,150
84,284,484,157,108,750,220,112
97,324,428,166,118,933,358,102
101,313,382,160,115,942,482,122
101,301,326,135,107,951,607,184
100,288,282,114,85,872,695,211
115,295,296,139,146,1079,936,358
260,287,291,160,167,1077,1052,615
309,325,345,176,189,1201,1120,749
380,343,359,185,213,1310,1181,808
475,386,414,201,239,1446,1221,1042
524,401,426,195,220,1417,1153,1130
549,405,407,172,207,1409,1130,1169
557,386,364,163,199,1420,1108,1178
631,416,410,187,211,1411,1070,1252
595,423,380,184,209,1333,1103,1125
594,403,383,175,201,1222,1117,1084
538,373,377,180,204,1288,1088,999
548,371,395,174,196,1323,1071,939
508,352,375,383,392,1395,1050,927
510,355,376,423,441,1418,987,939
501,381,365,422,441,1505,940,940
510,405,420,425,445,1456,898,920
507,429,428,435,454,1390,946,1040
522,436,415,265,284,1231,995,1060
574,426,421,210,243,1234,1015,1024
571,438,442,237,248,1190,1061,999
596,468,413,241,246,1223,1047,966
596,456,380,237,247,1370,1038,891
532,439,368,233,271,1396,1001,766
491,431,371,226,236,1379,935,870
507,427,323,199,249,1464,895,877
467,385,279,185,303,1445,917,944
421,374,287,182,324,1273,797,877
406,355,261,162,296,1291,753,865
344,328,195,139,277,1214,726,733
265,258,167,122,256,1078,579,644
229,200,145,114,172,991,486,499
216,178,114,77,84,887,476,443
147,162,135,217,157,895,341,337
115,154,144,347,189,944,293,261
80,205,228,502,225,859,253,204
64,242,227,525,249,821,184,153
55,253,273,690,337,835,113,104
53,252,284,693,331,800,89,84
57,278,473,660,316,881,66,68
70,266,696,635,296,854,55,60
74,250,733,630,282,819,43,53
75,256,872,463,173,814,39,42
88,343,932,428,125,649,39,46
122,333,988,438,136,321,60,63
123,337,867,327,124,285,64,62
152,351,866,346,116,230,66,62
186,394,730,330,110,168,67,66
187,343,743,336,117,152,66,63
169,373,783,289,96,101,52,47
200,387,834,279,95,100,46,43
212,379,827,223,81,89,45,46
189,323,815,209,77,71,45,44
191,342,836,189,63,87,44,69
189,297,660,170,59,121,33,125
149,264,547,146,55,122,33,130
94,252,552,140,55,125,30,132
91,256,619,190,63,126,32,135
79,213,484,179,58,111,29,126
73,213,448,173,55,92,28,84
77,203,438,178,52,98,26,79
86,212,507,184,54,96,30,77
77,200,465,143,44,94,25,70
82,201,519,118,47,93,31,70
85,202,553,117,47,60,33,51
87,203,600,107,46,34,34,48
74,184,506,93,42,31,31,44
89,260,602,130,53,35,34,50
84,251,609,140,55,36,32,48
85,246,613,143,56,36,31,52
104,251,570,143,56,37,29,51
113,263,626,158,58,37,30,55
101,201,534,119,45,34,27,48
95,220,463,100,36,30,25,48
92,219,406,95,36,45,26,40
86,197,461,103,37,92,49,58
88,187,405,98,38,102,64,60
88,179,397,99,39,125,66,63
97,196,576,146,54,163,83,66
109,192,591,146,56,203,86,67
132,247,645,178,65,204,92,63
173,277,705,187,71,351,106,73
264,392,808,241,140,567,205,227
333,528,804,235,151,678,256,369
426,679,919,254,158,763,366,554
489,832,875,240,169,840,469,606
549,852,889,229,192,903,589,848
568,1009,799,173,167,912,716,989
634,1054,715,168,195,1159,813,1060
676,1107,568,157,229,1243,1036,1134
697,1073,551,166,264,1369,1100,1229
723,1152,481,177,269,1424,1202,1221
733,1040,460,175,269,1441,1240,1229
707,1041,414,168,263,1309,1216,1228
705,988,434,171,272,1306,1055,1206
758,1005,451,163,270,1260,1123,1189
754,961,436,157,264,1275,1132,1156
750,974,413,158,263,1272,1067,1124
725,989,433,159,252,1313,1116,1116
759,961,495,153,226,1241,1146,1090
735,947,507,182,293,1231,1083,1097
723,1003,486,187,298,1336,1015,1061
712,1035,518,195,314,1327,1017,1002
707,965,576,199,334,1340,1012,1003
614,994,537,214,326,1372,939,1022
519,917,499,177,242,1353,865,962
454,819,493,167,219,1108,738,884
419,714,562,168,191,1024,636,820
403,639,668,215,144,877,448,694
389,531,774,256,143,951,408,479
378,562,962,329,131,1139,259,298
361,537,1077,355,146,1149,172,239
346,506,1085,370,141,1141,136,204
306,512,1002,353,137,1083,105,148
238,457,961,338,135,907,76,125
192,378,943,329,123,429,52,111
165,414,859,342,101,447,54,101
132,436,840,320,124,523,51,80
126,447,847,302,130,679,71,100
118,447,781,267,123,679,69,96
118,455,642,194,118,682,72,96
99,354,572,102,114,620,68,91
125,294,508,101,80,537,66,89
127,221,496,105,52,269,40,51
146,219,519,117,50,253,38,73
190,257,488,177,62,208,41,91
208,285,574,212,72,195,43,94
193,281,604,209,68,150,41,98
197,279,617,220,72,134,40,110
185,272,673,242,79,90,41,100
144,240,795,224,74,68,35,88
118,217,745,194,64,55,31,87
108,217,715,198,65,49,31,83
96,226,679,182,59,49,30,67
107,236,606,167,54,50,34,66
94,228,441,151,51,44,32,56
91,254,472,157,52,42,31,52
91,266,475,155,51,41,32,53
94,284,510,162,54,60,34,73
87,273,549,155,50,88,36,80
81,251,550,146,47,88,36,82
80,230,520,151,50,90,39,83
79,223,547,164,56,91,40,83
74,182,539,159,53,81,39,93
63,176,599,150,52,43,35,106
67,183,587,133,50,39,33,150
64,162,593,111,44,34,32,184
70,166,674,109,41,30,40,188
73,169,672,109,42,30,44,207
73,154,605,96,38,26,44,200
70,136,566,106,41,29,44,172
67,146,629,120,46,60,135,174
73,137,601,106,44,64,136,198
67,129,585,102,43,63,139,168
64,131,564,101,43,64,143,169
68,124,604,93,39,63,144,169
70,124,546,74,33,35,73,135
64,132,476,75,32,33,69,135
66,129,490,83,37,34,59,141
66,131,520,96,40,36,47,139
60,139,533,96,40,36,44,137
60,137,528,107,43,38,35,140
69,127,533,114,44,34,31,129
68,126,545,107,42,72,103,135
75,116,507,98,41,283,303,241
88,121,508,105,50,486,480,472
101,103,475,91,59,625,725,562
147,117,416,79,71,764,984,658
190,236,461,108,133,872,1097,832
208,295,514,154,211,1117,1206,954
293,410,476,172,237,1245,1263,980
347,462,505,188,277,1322,1295,1007
512,471,510,194,301,1349,1243,1069
552,536,430,192,293,1352,1265,1023
605,579,339,167,257,1298,1281,1014
649,583,328,168,267,1339,1263,1006
684,657,382,158,256,1363,1163,1023
621,742,396,173,304,1420,1202,1020
606,711,396,227,445,1440,1205,1045
631,720,437,355,545,1423,1178,1036
592,704,434,376,585,1303,1137,1005
615,644,354,375,593,1262,1153,1021
670,624,350,375,571,1162,1099,1030
694,669,352,355,497,1172,1015,1067
732,676,320,301,561,1209,956,1046
742,659,278,277,551,1263,995,1134
751,737,291,324,633,1449,1047,1101
732,721,316,418,700,1592,994,1032
732,748,376,624,766,1709,992,1079
652,812,387,658,673,1682,1014,1038
659,865,390,658,659,1620,1012,923
664,826,407,651,580,1411,974,937
604,812,393,608,504,1271,1011,981
569,774,322,391,363,1149,986,803
539,691,283,269,309,1115,922,785
474,628,271,259,253,1140,844,806
342,554,209,220,210,1162,775,704
