Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
90,242,575,82,55,411,239,331
97,245,575,83,57,351,202,324
98,250,559,86,56,325,183,335
94,219,420,118,52,326,175,339
97,214,420,120,51,304,186,369
94,221,419,119,47,262,227,355
112,218,412,121,42,260,262,469
110,203,381,116,41,262,260,462
96,198,246,67,31,251,264,463
97,193,353,90,42,230,250,443
111,204,400,99,39,160,205,422
96,203,404,95,35,188,183,239
100,198,418,96,40,189,251,263
101,139,390,94,41,201,300,323
103,137,347,77,39,236,315,386
95,152,339,69,42,278,421,456
89,155,364,69,48,328,555,495
108,195,387,82,54,361,638,572
113,207,406,81,59,410,673,605
120,254,404,69,61,490,764,669
145,270,486,94,74,532,860,857
178,316,535,132,80,588,788,945
177,324,517,128,86,733,791,939
192,344,503,130,92,772,838,954
218,323,475,133,104,828,887,1052
224,296,351,120,126,938,839,994
223,289,331,82,126,938,924,993
229,303,331,76,126,1035,1062,1057
243,334,367,78,126,1004,1061,1089
240,328,394,74,121,998,1096,1041
246,387,396,70,92,914,1095,1051
278,397,322,74,113,984,1107,1104
330,432,318,86,139,885,1014,1109
339,435,311,87,146,952,1069,1140
398,454,301,96,161,1057,1129,1094
507,516,289,104,196,1160,1264,1099
547,562,314,113,240,1210,1308,1040
569,596,377,124,264,1301,1281,1010
620,634,462,139,268,1336,1261,1018
607,716,562,166,286,1329,1126,1044
557,779,580,173,289,1326,993,974
528,763,580,183,287,1330,975,959
607,784,561,187,282,1250,986,970
582,779,526,183,279,1264,937,967
600,740,469,166,271,1247,1187,1042
605,694,489,168,252,1285,1213,1091
611,706,512,154,221,1274,1170,1104
514,678,537,140,203,1308,1218,1069
497,680,531,135,228,1455,1256,1074
477,673,531,145,226,1398,1117,944
469,607,579,164,228,1404,1065,978
479,628,570,162,212,1356,1082,958
456,609,543,157,194,1358,990,919
440,583,610,152,154,1174,955,804
395,545,575,130,118,1135,793,778
333,500,508,78,101,1003,734,572
261,418,479,67,102,1054,598,569
224,346,458,61,93,898,530,575
175,284,305,57,85,872,397,538
178,250,251,44,77,922,390,518
165,254,190,45,68,891,420,511
129,241,261,42,44,775,383,357
137,287,312,51,46,770,410,317
138,293,301,49,48,693,473,338
127,310,298,48,45,590,464,342
118,329,303,46,41,540,388,345
118,312,244,45,47,526,454,416
113,296,167,34,52,616,428,417
108,282,180,35,50,593,332,373
101,274,173,35,51,583,308,363
98,247,160,35,51,578,289,359
97,249,216,33,43,485,173,252
74,219,354,41,31,311,164,164
71,209,345,39,28,244,147,128
71,197,371,43,27,233,134,118
70,188,378,45,25,195,123,97
56,178,349,46,26,457,95,71
43,165,431,83,33,616,50,49
44,162,547,115,41,841,40,41
45,144,563,115,42,874,36,37
45,154,589,114,42,871,31,34
48,162,624,133,46,767,26,36
43,149,573,119,43,645,25,31
38,152,604,107,37,290,23,29
39,153,627,110,35,155,21,28
39,143,623,113,37,107,22,28
41,141,690,108,36,73,22,27
45,157,733,119,36,54,24,26
44,145,666,107,37,50,24,25
43,150,676,106,36,40,25,25
44,162,735,124,42,35,23,28
50,181,812,124,42,36,26,29
50,168,817,116,43,34,25,28
54,174,852,131,45,35,25,32
58,186,849,147,52,37,27,35
60,208,818,143,49,37,28,34
55,192,707,141,46,38,29,34
68,229,697,169,53,43,34,40
71,234,685,177,55,43,34,41
73,230,846,183,55,42,35,42
71,208,863,176,55,40,35,42
72,206,900,190,59,36,32,43
61,182,939,176,57,36,29,40
58,180,955,166,58,41,33,41
53,167,855,157,56,41,32,38
58,166,995,200,67,43,34,40
66,169,1003,201,73,52,40,44
92,253,1088,225,78,55,45,49
96,268,1093,229,77,52,42,50
103,286,1107,242,82,54,43,54
117,319,1083,269,93,61,49,60
130,379,1125,332,116,69,54,64
117,345,1060,333,121,71,53,62
148,426,1097,468,153,80,60,75
166,450,1161,505,165,90,64,84
178,492,1155,544,179,115,65,85
194,543,1099,540,184,115,67,93
221,568,1112,573,189,117,71,102
227,577,1161,497,209,145,84,104
265,672,1120,573,268,183,101,120
262,697,1092,539,267,196,103,121
289,668,1100,541,263,257,145,335
362,711,1072,650,298,287,159,355
363,698,1037,648,305,402,184,359
389,846,1145,631,287,520,217,377
425,898,1175,716,301,614,249,505
453,1025,1276,766,348,721,232,481
465,1165,1356,746,464,759,332,485
551,1189,1370,834,597,831,333,489
598,1090,1319,825,637,866,362,490
688,1129,1275,802,672,984,467,476
731,1063,1171,779,685,1093,505,450
784,963,1167,767,619,1141,466,454
794,1028,1132,813,484,1144,494,507
745,977,1062,811,412,1106,500,537
688,862,1106,863,351,999,447,448
614,820,1157,884,284,845,411,404
582,728,1128,813,231,769,391,385
